3000;Lima;-12.046374;-77.042793
3001;Arequipa;-16.409047;-71.537451
3002;Cusco;-13.531950;-71.967463
3003;Trujillo;-8.115683;-79.029766
3004;Chiclayo;-6.766897;-79.841646
3005;Piura;-5.200833;-80.632751
3006;Iquitos;-3.749161;-73.250572
3007;Puno;-15.843155;-70.019905
3008;Tacna;-18.005659;-70.247183
3009;Huaraz;-9.526115;-77.528779
3010;Cajamarca;-7.160418;-78.515647
3011;Ayacucho;-13.158068;-74.227723
3012;Huancayo;-12.073106;-75.197287
3013;Chimbote;-9.085305;-78.578431
3014;Ica;-14.067660;-75.728464
3015;Tarapoto;-6.511944;-76.358889
3016;Pucallpa;-8.379147;-74.553401
3017;Tumbes;-3.566967;-80.450731
3018;Ilo;-17.640561;-71.337563
3019;Moquegua;-17.193262;-70.935640
3020;Cerro de Pasco;-10.664350;-76.256738
3021;Chachapoyas;-6.231950;-77.870216
3022;Huánuco;-9.930620;-76.244478
3023;Huancavelica;-12.789583;-74.990722
3024;Jauja;-11.780833;-75.498611
3025;Oxapampa;-10.576325;-75.401306
3026;Puerto Maldonado;-12.600000;-69.183333
3027;Rioja;-6.075000;-77.166667
3028;Satipo;-11.255167;-74.638333
3029;Tingo Maria;-9.309417;-76.014444
3030;Yurimaguas;-5.898194;-76.133361
